winner,loser,probability
Cleveland Cavaliers,Boston Celtics,0.5345909092637772
Golden State Warriors,Houston Rockets,0.555707513087827
Boston Celtics,Milwaukee Bucks,0.576734688877652
Dallas Mavericks,Atlanta Hawks,0.5691607168026207
Detroit Pistons,Charlotte Hornets,0.535009655668007
Indiana Pacers,Brooklyn Nets,0.5293681535160547
Memphis Grizzlies,New Orleans Pelicans,0.5573300839336308
Orlando Magic,Miami Heat,0.5538728921763681
Phoenix Suns,Portland Trail Blazers,0.5240166395206817
Sacramento Kings,Houston Rockets,0.560797952207263
San Antonio Spurs,Minnesota Timberwolves,0.5442703646741155
Utah Jazz,Denver Nuggets,0.5202822087516396
Washington Wizards,Philadelphia 76ers,0.5726696723333224
Los Angeles Lakers,Los Angeles Clippers,0.5531311940384591
Oklahoma City Thunder,New York Knicks,0.5345521643749584
Toronto Raptors,Chicago Bulls,0.5535066021903311
Brooklyn Nets,Orlando Magic,0.5199455239046644
Charlotte Hornets,Atlanta Hawks,0.5671920980824762
Dallas Mavericks,Sacramento Kings,0.5291682331837083
Indiana Pacers,Portland Trail Blazers,0.5316226161189984
Milwaukee Bucks,Cleveland Cavaliers,0.5801425689764322
Minnesota Timberwolves,Utah Jazz,0.5394225878605963
New Orleans Pelicans,Golden State Warriors,0.5450800097563754
Philadelphia 76ers,Boston Celtics,0.5368413043649841
Phoenix Suns,Los Angeles Lakers,0.5173663735129437
Washington Wizards,Detroit Pistons,0.5606861352426524
Chicago Bulls,San Antonio Spurs,0.5526683042074527
Cleveland Cavaliers,Orlando Magic,0.5171165409547088
Denver Nuggets,Sacramento Kings,0.5068851556796325
Houston Rockets,Dallas Mavericks,0.5726263589809961
Los Angeles Clippers,Phoenix Suns,0.5060229920801586
Memphis Grizzlies,Golden State Warriors,0.5738577076933287
Miami Heat,Indiana Pacers,0.5530290087802339
Milwaukee Bucks,Portland Trail Blazers,0.5424928527759437
New York Knicks,Detroit Pistons,0.5397572626048416
Toronto Raptors,Philadelphia 76ers,0.5434559654774743
Utah Jazz,Oklahoma City Thunder,0.5533276438183268
Brooklyn Nets,Atlanta Hawks,0.5613089365437894
Los Angeles Lakers,New Orleans Pelicans,0.5517406939746949
Oklahoma City Thunder,Minnesota Timberwolves,0.5345018879626191
Dallas Mavericks,Golden State Warriors,0.5525146737771595
Denver Nuggets,Washington Wizards,0.6033823288506476
Detroit Pistons,Philadelphia 76ers,0.5403636711121357
Houston Rockets,Memphis Grizzlies,0.5638008785256478
Miami Heat,Atlanta Hawks,0.5738377672333239
Milwaukee Bucks,Charlotte Hornets,0.5498107536843767
Phoenix Suns,Sacramento Kings,0.5223616225484823
San Antonio Spurs,Toronto Raptors,0.5722222832523717
Boston Celtics,New York Knicks,0.5431787635484729
Cleveland Cavaliers,Chicago Bulls,0.542845793093895
Los Angeles Clippers,Utah Jazz,0.5687394264187207
Minnesota Timberwolves,Indiana Pacers,0.5301144859418052
Orlando Magic,Brooklyn Nets,0.5362408983888031
Portland Trail Blazers,New Orleans Pelicans,0.5598946370913245
Brooklyn Nets,Cleveland Cavaliers,0.5608135496933014
Charlotte Hornets,Denver Nuggets,0.5125324304542598
Dallas Mavericks,Memphis Grizzlies,0.5427427502868779
Detroit Pistons,Minnesota Timberwolves,0.5353630379561628
Golden State Warriors,Toronto Raptors,0.5681882044201518
Los Angeles Lakers,Washington Wizards,0.6394519824473002
Miami Heat,San Antonio Spurs,0.5500019237116801
Oklahoma City Thunder,Indiana Pacers,0.5442987760113404
Philadelphia 76ers,Houston Rockets,0.5455786753590602
Phoenix Suns,Utah Jazz,0.5508072705200258
Chicago Bulls,Atlanta Hawks,0.5764716705990012
Memphis Grizzlies,Dallas Mavericks,0.5730078245788615
Milwaukee Bucks,Boston Celtics,0.5569544227637931
Portland Trail Blazers,Los Angeles Clippers,0.5612799559335814
Sacramento Kings,New Orleans Pelicans,0.5426225067558677
Atlanta Hawks,Denver Nuggets,0.5299221051823569
Charlotte Hornets,Houston Rockets,0.5520690512426218
Golden State Warriors,Washington Wizards,0.6261049240446469
Los Angeles Lakers,Toronto Raptors,0.5822231869275136
Minnesota Timberwolves,Oklahoma City Thunder,0.5294412857683427
New York Knicks,Brooklyn Nets,0.5369465850354938
Orlando Magic,San Antonio Spurs,0.5529036079138879
Chicago Bulls,Oklahoma City Thunder,0.555024627563153
Dallas Mavericks,Philadelphia 76ers,0.5435151887037911
Los Angeles Clippers,Detroit Pistons,0.542689625437184
Memphis Grizzlies,Houston Rockets,0.5753784312827758
Miami Heat,Boston Celtics,0.5500733727999616
New Orleans Pelicans,Cleveland Cavaliers,0.5612879950530919
Portland Trail Blazers,Phoenix Suns,0.5189380879281487
Utah Jazz,Los Angeles Lakers,0.5299148030152255
Atlanta Hawks,Milwaukee Bucks,0.587221452565328
Brooklyn Nets,Denver Nuggets,0.50655266747428
Charlotte Hornets,Orlando Magic,0.5259148842986894
Cleveland Cavaliers,New York Knicks,0.5277970540689984
Golden State Warriors,Detroit Pistons,0.5330514668871031
Indiana Pacers,San Antonio Spurs,0.546068766103272
Sacramento Kings,Washington Wizards,0.6309244795156953
Boston Celtics,San Antonio Spurs,0.5498685706228054
Houston Rockets,Philadelphia 76ers,0.5645662835430809
Los Angeles Clippers,Golden State Warriors,0.5637299398638617
Memphis Grizzlies,Charlotte Hornets,0.5596484670840705
Miami Heat,Minnesota Timberwolves,0.5432623138223861
New Orleans Pelicans,Orlando Magic,0.5204263647259498
New York Knicks,Denver Nuggets,0.5229418121532444
Portland Trail Blazers,Toronto Raptors,0.5902344490446035
Utah Jazz,Dallas Mavericks,0.5573394509760576
Phoenix Suns,Brooklyn Nets,0.5133308868999202
Indiana Pacers,Sacramento Kings,0.5299703237890555
Los Angeles Lakers,Detroit Pistons,0.5473186130391807
Milwaukee Bucks,Oklahoma City Thunder,0.559235014093461
Boston Celtics,Sacramento Kings,0.5337898357121394
Charlotte Hornets,Milwaukee Bucks,0.5702323951722922
Cleveland Cavaliers,Indiana Pacers,0.5375627488562785
Denver Nuggets,Toronto Raptors,0.5445064888847894
Los Angeles Clippers,Dallas Mavericks,0.5628752440662451
Memphis Grizzlies,Orlando Magic,0.5494745983805853
Miami Heat,Chicago Bulls,0.5582805502052895
New Orleans Pelicans,Minnesota Timberwolves,0.5310497297215312
New York Knicks,Houston Rockets,0.562355075098478
Philadelphia 76ers,Atlanta Hawks,0.5607465011224507
Utah Jazz,Portland Trail Blazers,0.5365470509004807
Washington Wizards,Phoenix Suns,0.5241973455011518
Portland Trail Blazers,Los Angeles Lakers,0.5483400091776597
San Antonio Spurs,Golden State Warriors,0.5582341434767658
Atlanta Hawks,Houston Rockets,0.5692337182245414
Dallas Mavericks,New Orleans Pelicans,0.5358288301399231
Denver Nuggets,Miami Heat,0.5240410053844333
Detroit Pistons,Milwaukee Bucks,0.5690871224871601
Los Angeles Lakers,Brooklyn Nets,0.5445151450563368
New York Knicks,Phoenix Suns,0.5030708041078855
Oklahoma City Thunder,Boston Celtics,0.5413332897634763
Orlando Magic,Chicago Bulls,0.5611714440873432
Philadelphia 76ers,Indiana Pacers,0.539811144037466
